id,title,price,volume,type,alcohol,sweet,sour,body,cool,food,material,company,link,flavour_type
275,울금생막걸리 정,"1,500",750ml,탁주,6,3,3.5,3,3,,"국내산 쌀, 국내산 울금",영덕주조,https://dbscthumb-phinf.pstatic.net/3002_000_1/20140522152929787_AN6DX9IDB.jpg/619_1_2_d1.jpg?type=m251&wm=Y,3
276,월매 쌀막걸리(캔),"1,200",350ml,탁주,6,2,2,1,3,파전,"백미, 말토올리고당, 정제수",서울장수㈜,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20181012223930615_T25RQAD1K.jpg%2Ffe87_252_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10,2
277,유자생막걸리,"1,800",750ml,탁주,5,2,3,1,3,식사(반주하기 좋은 술),"경기미 75%, 유자 국내산20% , 맥아당 5%",배혜정도가,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20170524152908845_YH8ILUB46.jpg%2Ffe87_173_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,2
278,율무 동동주,"14,000",750ml,탁주,14,2,4,4,3,온더록스로 한잔,"쌀(국내산), 누룩, 효모, 연천 율무, 정제수",농업회사법인 연천양조㈜,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_3%2F20200824205542822_VHZJ2WXH2.jpg%2Ffe87_520_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,1
279,은자골 곶감 생 탁배기,"1,500",750ml,탁주,6,1,1,1,3,양념을 많이 하지 않은 생선회,"백미, 소맥분, 정제수, 곶감분말, 전분당, 국, 누룩, 효소, 아스파탐 등",은척 양조장,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20170116183007288_5OQ57BFPD.jpg%2Ffe87_089_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,2
280,은자골 생 탁배기,"1,500",750ml,탁주,5,1,3,3,3,파전,국내산 쌀,은척양조장,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20170116182946252_U21CE6PE9.jpg%2Ffe87_088_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10,1
281,이동 생 쌀 막걸리,"1,300",750ml,탁주,6,1,3,2,3,갈비찜,"정제수, 백미, 팽화미, 입국, 아스파탐 등",이동주조,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20170116182607367_R1A6R4GR5.jpg%2Ffe87_084_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,1
282,이동 쌀 막걸리,"1,600",1200ml,탁주,6,3,1,3,1,도토리 묵,"정제수, 백미, 팽화미, 입국, 아스파탐",이동주조,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20170116182703122_SP1FPJH1H.jpg%2Ffe87_085_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,4
283,이상헌 탁주,"25,000",500ml,탁주,19,2,3,3,3,샐러드,"아산쌀, 국(국내산 밀누룩), 정제수",이가수불,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_2%2F20190726181609891_9HASGK8MD.jpg%2Ffe87_424_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,1
284,이화백주,"12,000",940ml,탁주,6,3,3,3,4,"갈비찜, 해물파전, 보쌈, 족발","정제수, 쌀(국내산), 누룩, 설탕, 물엿, 밀, 아스파탐",이화백주,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20181013023517407_AEIEZYQYW.jpg%2Ffe87_284_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10,3
