title,price,volume,type,alcohol,food,sweet,sour,body,cool,meterial,company,flavour_type,id
명인 홍삼주,12000,375ml,약주,12.5,양념갈비,1,3,2,2,"쌀, 홍삼, 누룩, 정제수",금산인삼주,3,97
명작 복분자,78000,375ml,과실주,13,파이,3,1,1,1,"복분자, 효모, 주정, 정제수, 과당, 구연산",국순당,2,98
모월 연,18000,500ml,약주,13,편한 일상 속 저녁 식사와 함께,1,3,2,2,"국내산 쌀, 밀누룩(국산)",모월,3,99
모월 청,21000,500ml,약주,16,양념된 고기류,1,3,3,2,"쌀(국내산), 누룩, 정제수",모월,3,100
무주구천동머루와인,25000,750ml,과실주,12,삼겹살,2,2,3,1,머루,덕유양조,1,101
미나리 생막걸리,1100,750ml,탁주,6,"미나리전, 무침",3,3,3,3,"국내산 쌀, 국내산 무농약 미나리추출액",성포양조장,4,102
미담,1500,750ml,탁주,6,,3,2.5,3,3,국내산 쌀,성광주조,4,103
미르,18000,375ml,증류주,25,삼겹살,2,0,3,1,"쌀(국내산 경기미 100%), 누룩, 정제수",술샘,1,104
미르 40,23000,375ml,증류주,40,흰살 생선회,1,0,4,0,"쌀(국내산 경기미 100%), 누룩, 정제수",술샘,1,105
미몽 (단종),2000,360ml,탁주,7,,3.5,2,2.5,1.5,"국내산 쌀, 국내산 인삼",국순당,1,106
미생 막걸리,1100,750ml,탁주,6,"닭도리탕, 감자탕",2,3,3,3,"국내산 쌀, 누룩, 효모, 정제효소, 정제수",김포금쌀탁주 영농조합법인,4,107
미소 생막걸리,1500,750ml,탁주,7,"대게, 홍게찜",3,3,2,3,"쌀(국내산), 누룩, 정제수",울진술도가,4,108
미소 아이스,40000,375ml,과실주,12,,4,1,3,2,"포도, 산화방지제, 효모",도란원,1,109
미인탁주,15000,500ml,탁주,10,수육(돼지고기),3,1,3,1,"찹쌀, 누룩, 정제수",최행숙전통주가,1,110
바나나 주,1700,750ml,기타주류,4,열대과일,3,1,2,3,"쌀, 국, 정제수, 바나나 농축액, 조제종국, 효모, 물엿",조은술 세종,2,111
바랑 탁,18000,375ml,탁주,15,불고기,4,2,4,1,"국내산 찹쌀, 국내산 멥쌀, 누룩, 소맥분, 정제수",금계당,1,112
밤꽃향기,4000,375ml,약주,13.5,"구운 밤, 공주국밥",5,2,2,2,"국내산 쌀, 밤, 누룩, 정제수",사곡양조장,2,113
방문주 약주,7000,500ml,약주,15,"한우 불고기, 떡갈비",2,3,3,3,"국내산 찹쌀, 누룩, 정제수",케이소주,4,114
배꽃담은연,20000,720ml,탁주,10,"미나리전, 고기 빈대떡, 오이무침, 족편",3,3,3,3,"쌀 26.1%, 효모 0.07%, 젖산 0.05%, 정제수 72.31%",술빚는전가네,4,115
백년향,33000,500ml,탁주,10,"조개찜, 전복구이, 담백한 요리",3,3,3,2,"쌀,누룩,정제수",추연당,4,116
백련 맑은술,7000,375ml,약주,12,어묵,2,2,2,1,"백미, 정제수, 물엿, 과당, 누룩, 백련잎, 누룩",신평양조장,2,117
